"No.","Time","Source","Destination","Protocol","Length","Info"
"105","50.434544000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [ACK] Seq=492 Ack=1149 Win=31232 Len=0 TSval=78584 TSecr=78584"
"106","50.434586000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57248 [FIN, ACK] Seq=1149 Ack=492 Win=30208 Len=0 TSval=78584 TSecr=78584"
"107","50.471669000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [ACK] Seq=492 Ack=1150 Win=31232 Len=0 TSval=78594 TSecr=78584"
"108","50.523379000","10.0.0.2","10.0.0.1","TCP","66","57248 > irdmi [FIN, ACK] Seq=492 Ack=1150 Win=31232 Len=0 TSval=78606 TSecr=78584"
"109","50.523393000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57248 [ACK] Seq=1150 Ack=493 Win=30208 Len=0 TSval=78606 TSecr=78606"
"110","59.792124000","10.0.0.2","10.0.0.1","TCP","74","57268 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=80923 TSecr=0 WS=512"
"111","59.792139000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 57268 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=80923 WS=512"
"112","59.792610000","10.0.0.2","10.0.0.1","TCP","66","57268 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=80924 TSecr=80924"
"113","59.793158000","10.0.0.2","10.0.0.1","TCP","74","57270 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=0 WS=512"
"114","59.793168000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 57270 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=80924 WS=512"
"115","59.793548000","10.0.0.2","10.0.0.1","TCP","66","57270 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=80924 TSecr=80924"
"116","59.793941000","10.0.0.2","10.0.0.1","TCP","74","57272 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=0 WS=512"
"117","59.793951000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 57272 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=80924 WS=512"
"118","59.794442000","10.0.0.2","10.0.0.1","TCP","66","57272 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=80924 TSecr=80924"
"119","59.795090000","10.0.0.2","10.0.0.1","TCP","74","57274 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=0 WS=512"
"120","59.795101000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 57274 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=80924 WS=512"
"121","59.795387000","10.0.0.2","10.0.0.1","TCP","74","57276 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=0 WS=512"
"122","59.795395000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 57276 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=80924 WS=512"
"123","59.795727000","10.0.0.2","10.0.0.1","TCP","74","57278 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=0 WS=512"
"124","59.795735000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 57278 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=80924 TSecr=80924 WS=512"
"125","59.796103000","10.0.0.2","10.0.0.1","TCP","66","57274 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=80924 TSecr=80924"
"126","59.796499000","10.0.0.2","10.0.0.1","TCP","66","57276 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=80925 TSecr=80924"
"127","59.796804000","10.0.0.2","10.0.0.1","TCP","66","57278 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=80925 TSecr=80924"
